Server Name,Week,CPU %,RAM,Date
CALBIPRD01,Wk 1,0.226,6.2,1/7/2017
CALBIPRD01,Wk 2,0.1264,6.2,1/14/2017
CALBIPRD01,Wk 3,0.43,5.6,1/21/2017
CALBIPRD01,Wk 4,0.085,5.7,1/28/2017
CALBIPRD01,Wk 5,0.12,6.2,2/4/2017
CALBIPRD01,Wk 6,0.032,6.3,2/11/2017
CALBIPRD01,Wk 7,0.0386,6.5,2/18/2017
CALBIPRD01,Wk 8,0.0212,6.5,2/25/2017
CALBIPRD01,Wk 9,0.63,6.6,3/4/2017
CALBIPRD01,Wk 10,0.938,6.4,3/11/2017
CALBIPRD01,Wk 11,0.938,5.9,3/18/2017
CALBIPRD01,Wk 12,0.209,5.7,3/25/2017
CALBIPRD01,Wk 13,0.043,5.7,4/1/2017
CALBIPRD01,Wk 14,6,7.8,4/8/2017
CALBIPRD01,Wk 15,1.62,15.8,4/15/2017
CALBIPRD01,Wk 16,0.946,15.1,4/22/2017
CALBIPRD01,Wk 17,0.944,14.7,4/29/2017
CALBIPRD01,Wk 18,0.021,10.1,5/6/2017
CALBIPRD01,Wk 19,0.0379,10.2,5/13/2017
CALBIPRD01,Wk 20,0.74,10.3,5/20/2017
CALBIPRD01,Wk 21,4,12.1,5/27/2017
CALBIPRD01,Wk 22,0.7,9.7,6/3/2017
CALBIPRD01,Wk 23,1.186,8,6/10/2017
CALBIPRD01,Wk 24,0.0247,8.3,6/17/2017
CALBIPRD01,Wk 25,0.77,8.5,6/24/2017
CALBIPRD01,Wk 26,0.0354,8.1,7/1/2017
CALBIPRD01,Wk 27,0.0247,8.4,7/8/2017
CALBIPRD01,Wk 28,0.0141,8.7,7/15/2017
CALBIPRD01,Wk 29,0.51,8.9,7/22/2017
CALBIPRD01,Wk 30,0.0213,8,7/29/2017
CALBIPRD01,Wk 31,0.75,8.9,8/5/2017
CALBIPRD01,Wk 32,0.0141,9,8/12/2017
CALBIPRD01,Wk 33,0.0211,9.2,8/19/2017
CALBIPRD01,Wk 34,0.55,9.3,8/26/2017
CALBIPRD01,Wk 35,0.1344,8.9,9/2/2017
CALBIPRD01,Wk 36,0.0292,9.2,9/9/2017
CALBIPRD01,Wk 37,0.152,9.4,9/16/2017
CALBIPRD01,Wk 38,0.67,8.4,9/23/2017
CALBIPRD01,Wk 39,0.0236,8.1,9/30/2017
CALBIPRD01,Wk 40,0.0236,8.3,10/7/2017
CALBIPRD01,Wk 41,0.0318,8.7,10/14/2017
CALBIPRD01,Wk 42,0.57,8.8,10/21/2017
CALBIPRD01,Wk 43,0.253,8,10/28/2017
CALBIPRD01,Wk 44,0.253,8.2,11/4/2017
CALBIPRD01,Wk 45,2.4,8.2,11/11/2017
CALBIPRD01,Wk 46,0.268,8.7,11/18/2017
CALBIPRD01,Wk 47,0.253,9.2,11/25/2017
CALBIPRD01,Wk 48,9.52,7.8,12/2/2017
CALBIPRD01,Wk 49,0.5,8.3,12/9/2017
CALBIPRD01,Wk 50,0.253,9.1,12/16/2017
CALBIPRD01,Wk 51,0.34,9.1,12/23/2017
CALBIPRD01,WK 52,,,12/30/2017
CALBIPRD02,Wk 1,0.191,4.7,1/7/2017
CALBIPRD02,Wk 2,0.483,4.7,1/14/2017
CALBIPRD02,Wk 3,0.95,4.7,1/21/2017
CALBIPRD02,Wk 4,0.54,5.2,1/28/2017
CALBIPRD02,Wk 5,0.243,5,2/4/2017
CALBIPRD02,Wk 6,0.398,5.7,2/11/2017
CALBIPRD02,Wk 7,0.112,6.1,2/18/2017
CALBIPRD02,Wk 8,0.0906,6.2,2/25/2017
CALBIPRD02,Wk 9,0.3,6.2,3/4/2017
CALBIPRD02,Wk 10,1.71,5.2,3/11/2017
CALBIPRD02,Wk 11,1.71,4.1,3/18/2017
CALBIPRD02,Wk 12,0.497,4.5,3/25/2017
CALBIPRD02,Wk 13,0.222,4.5,4/1/2017
CALBIPRD02,Wk 14,5,4.9,4/8/2017
CALBIPRD02,Wk 15,0.58,7.9,4/15/2017
CALBIPRD02,Wk 16,1.217,8.2,4/22/2017
CALBIPRD02,Wk 17,1.039,7.9,4/29/2017
CALBIPRD02,Wk 18,0.56,8.1,5/6/2017
CALBIPRD02,Wk 19,0.2888,8.8,5/13/2017
CALBIPRD02,Wk 20,1.67,8.6,5/20/2017
CALBIPRD02,Wk 21,3.28,8.7,5/27/2017
CALBIPRD02,Wk 22,0.84,9.2,6/3/2017
CALBIPRD02,Wk 23,1.17,7.8,6/10/2017
CALBIPRD02,Wk 24,0.1179,8.2,6/17/2017
CALBIPRD02,Wk 25,1.28,8.3,6/24/2017
CALBIPRD02,Wk 26,0.114,7.7,7/1/2017
CALBIPRD02,Wk 27,0.0449,8.5,7/8/2017
CALBIPRD02,Wk 28,0.039,8.72,7/15/2017
CALBIPRD02,Wk 29,0.94,8.9,7/22/2017
CALBIPRD02,Wk 30,0.066,8,7/29/2017
CALBIPRD02,Wk 31,0.169,8.27,8/5/2017
CALBIPRD02,Wk 32,0.0588,8.38,8/12/2017
CALBIPRD02,Wk 33,0.099,8.47,8/19/2017
CALBIPRD02,Wk 34,1.28,8.5,8/26/2017
CALBIPRD02,Wk 35,0.289,8.52,9/2/2017
CALBIPRD02,Wk 36,0.232,8.66,9/9/2017
CALBIPRD02,Wk 37,0.175,8.8,9/16/2017
CALBIPRD02,Wk 38,1.41,8.4,9/23/2017
CALBIPRD02,Wk 39,0.76,8.3,9/30/2017
CALBIPRD02,Wk 40,0.2025,8.48,10/7/2017
CALBIPRD02,Wk 41,0.161,8.71,10/14/2017
CALBIPRD02,Wk 42,1.214,8.8,10/21/2017
CALBIPRD02,Wk 43,0.59,8.1,10/28/2017
CALBIPRD02,Wk 44,0.59,8.5,11/4/2017
CALBIPRD02,Wk 45,2.18,8.4,11/11/2017
CALBIPRD02,Wk 46,1.61,8.9,11/18/2017
CALBIPRD02,Wk 47,1.67,9.2,11/25/2017
CALBIPRD02,Wk 48,12,9.4,12/2/2017
CALBIPRD02,Wk 49,1.49,8.7,12/9/2017
CALBIPRD02,Wk 50,2.21,8.8,12/16/2017
CALBIPRD02,Wk 51,2.11,9.2,12/23/2017
CALBIPRD02,WK 52,,,12/30/2017
CALBIPRD03,Wk 1,0.226,5.3,1/7/2017
CALBIPRD03,Wk 2,0.268,4.9,1/14/2017
CALBIPRD03,Wk 3,1.011,5.2,1/21/2017
CALBIPRD03,Wk 4,0.55,4.8,1/28/2017
CALBIPRD03,Wk 5,0.49,5.2,2/4/2017
CALBIPRD03,Wk 6,0.103,5.2,2/11/2017
CALBIPRD03,Wk 7,0.363,5.4,2/18/2017
CALBIPRD03,Wk 8,0.216,5.5,2/25/2017
CALBIPRD03,Wk 9,0.392,5.5,3/4/2017
CALBIPRD03,Wk 10,0.377,6.4,3/11/2017
CALBIPRD03,Wk 11,0.377,4.7,3/18/2017
CALBIPRD03,Wk 12,0.395,5.2,3/25/2017
CALBIPRD03,Wk 13,0.109,5.6,4/1/2017
CALBIPRD03,Wk 14,1.25,5.5,4/8/2017
CALBIPRD03,Wk 15,0.61,8.5,4/15/2017
CALBIPRD03,Wk 16,1.135,8.6,4/22/2017
CALBIPRD03,Wk 17,0.88,8.8,4/29/2017
CALBIPRD03,Wk 18,0.079,8.97,5/6/2017
CALBIPRD03,Wk 19,0.13,8.4,5/13/2017
CALBIPRD03,Wk 20,1.4,9.1,5/20/2017
CALBIPRD03,Wk 21,2.28,8,5/27/2017
CALBIPRD03,Wk 22,1.036,8.5,6/3/2017
CALBIPRD03,Wk 23,1.016,8.1,6/10/2017
CALBIPRD03,Wk 24,0.095,8.94,6/17/2017
CALBIPRD03,Wk 25,1.27,9,6/24/2017
CALBIPRD03,Wk 26,0.098,8,7/1/2017
CALBIPRD03,Wk 27,0.177,8.7,7/8/2017
CALBIPRD03,Wk 28,0.071,8.4,7/15/2017
CALBIPRD03,Wk 29,0.89,8.5,7/22/2017
CALBIPRD03,Wk 30,0.0459,8.4,7/29/2017
CALBIPRD03,Wk 31,0.0456,9.21,8/5/2017
CALBIPRD03,Wk 32,0.0404,9.41,8/12/2017
CALBIPRD03,Wk 33,0.0527,9.57,8/19/2017
CALBIPRD03,Wk 34,1.8,10.5,8/26/2017
CALBIPRD03,Wk 35,0.243,10,9/2/2017
CALBIPRD03,Wk 36,0.104,9.28,9/9/2017
CALBIPRD03,Wk 37,0.1519,9.4,9/16/2017
CALBIPRD03,Wk 38,1.27,10.3,9/23/2017
CALBIPRD03,Wk 39,0.1355,8.3,9/30/2017
CALBIPRD03,Wk 40,0.134,8.77,10/7/2017
CALBIPRD03,Wk 41,0.166,8.8,10/14/2017
CALBIPRD03,Wk 42,1.091,7.8,10/21/2017
CALBIPRD03,Wk 43,0.51,8.4,10/28/2017
CALBIPRD03,Wk 44,0.76,8.3,11/4/2017
